Player,Team,Season,Age,Pos,lebron_Year,lebron_Age,lebron_Position,MP65,lebron_off,lebron_def,xrapm_off,xrapm_def,darko_off,darko_def,epm_off,epm_def,xrapm_off_scaled,darko_off_scaled,epm_off_scaled,xrapm_def_scaled,darko_def_scaled,epm_def_scaled,combined_off,combined_def,combined_tot,Multi-Year WAR,Multi-Year PV,Y1_off,Y1_def,Y1_tot,Y1_war,Y1_PV,Y2_off,Y2_def,Y2_tot,Y2_war,Y2_PV,Y3_off,Y3_def,Y3_tot,Y3_war,Y3_PV,Y4_off,Y4_def,Y4_tot,Y4_war,Y4_PV,Y5_off,Y5_def,Y5_tot,Y5_war,Y5_PV
Tolu Smith,DET,2025,24.0,PF,2025.0,24.0,PF,1452.75,-0.8876174092292786,-0.4250229299068451,-3.8,-1.4,-1.3246584875284781,-0.21983072035703047,-2.04857,-0.815546,-3.569457283986433,-1.6547449259880453,-2.04857,-1.0147305138224896,-0.4190213716094544,-0.815546,-2.4242574033248263,-0.749765961810648,-3.1740233651354743,-0.16798156823523636,-1007889.4094114181,-2.2586574033248263,-0.6750659618106482,-2.9337233651354744,-0.01487528759916914,-95499.34638666589,-2.1605574033248267,-0.6264659618106483,-2.787023365135475,0.08539576700247968,603064.9065715116,-2.129957403324827,-0.6039659618106483,-2.7339233651354755,0.12296125458011171,955187.617829224,-2.166857403324827,-0.6075659618106484,-2.7744233651354753,0.09424847502092626,805355.1040233154,-2.271257403324827,-0.6372659618106484,-2.9085233651354754,0.0019823690889231526,18633.321863453133
Jahmir Young,MIA,2025,24.0,PG,2025.0,24.0,PG,321.38888888888926,-0.9059273600578308,-0.2629920542240143,-3.7,-1.9,-1.5593659861926816,-1.0175867377702925,-2.63963,-0.837002,-3.470789870045938,-1.9579341058347515,-2.63963,-1.3793395313822894,-1.2765721697406798,-0.837002,-2.6894513252935632,-1.1643045670409897,-3.853755892334553,-0.5261475270771422,-3156885.162462853,-2.5238513252935633,-1.0896045670409897,-3.613455892334553,-0.4121790782564492,-2646189.682406404,-2.4257513252935636,-1.0410045670409898,-3.4667558923345534,-0.335801156935346,-2371427.770277414,-2.395151325293564,-1.0185045670409898,-3.4136558923345537,-0.3068841041034337,-2383937.0974962944,-2.432051325293564,-1.0221045670409898,-3.454155892334554,-0.3290006198735116,-2811316.876831555,-2.536451325293564,-1.05180456704099,-3.588255892334554,-0.39942576348157854,-3754411.2512118956
Riley Minix,SAS,2025,24.0,SF,2025.0,24.0,SF,438.75,-0.9487690329551696,-0.3341002762317657,-3.7,-1.4,-1.1771819400059835,-0.07006498514689888,-1.32039,-0.647643,-3.470789870045938,-1.4642384711689755,-1.32039,-1.0147305138224896,-0.258030137499306,-0.647643,-2.085139447071638,-0.6401345504405985,-2.7252739975122364,0.12914421921692554,774865.3153015532,-1.9195394470716378,-0.5654345504405986,-2.4849739975122365,0.30808871793807463,1977929.5691624393,-1.821439447071638,-0.5168345504405988,-2.338273997512237,0.42413366597743335,2995231.949132635,-1.7908394470716382,-0.4943345504405988,-2.285173997512237,0.467408722345401,3630924.436923545,-1.8277394470716384,-0.49793455044059887,-2.3256739975122374,0.43434118692917917,3711454.1291335756,-1.9321394470716384,-0.5276345504405989,-2.4597739975122375,0.3276560004927672,3079809.785063778
Isaac Jones,DET,2025,24.0,PF,2025.0,24.0,PF,493.77791666666616,-1.4665539264678955,-0.2133342027664184,-3.0,-1.5,-1.476216352891416,-0.6654131709159249,-2.43892,-1.09548,-2.7801179724624685,-1.8505235234347697,-2.43892,-1.0876523173344494,-0.8980018841589481,-1.09548,-2.356520498632413,-1.0270447338311326,-3.3835652324635452,-0.2901975115285859,-1741185.0691715155,-2.190920498632413,-0.9523447338311327,-3.1432652324635457,-0.14915629182988313,-957583.3935478498,-2.0928204986324133,-0.9037447338311329,-2.996565232463546,-0.056250798774264865,-397243.14094385854,-2.0622204986324135,-0.8812447338311329,-2.9434652324635464,-0.02135137335133137,-165861.7384678124,-2.0991204986324137,-0.8848447338311329,-2.9839652324635466,-0.048030715673882396,-410423.4260476387,-2.2035204986324137,-0.914544733831133,-3.1180652324635467,-0.13356388497791905,-1255436.6752554202
Isaiah Crawford,HOU,2025,23.0,SF,2025.0,23.0,SF,197.88888888888903,-0.9487690329551696,-0.2435241490602493,-3.4,-1.3,-1.6944957708467498,-0.08537964908521556,-3.00985,-0.694469,-3.1747876282244505,-2.132491326269982,-3.00985,-0.9418087103105297,-0.2744926924619113,-0.694469,-2.772376318164811,-0.6369234675908136,-3.4092997857556244,-0.3044818821063719,-1826891.2926382313,-2.539276318164811,-0.5361234675908138,-3.075399785755625,-0.10681790100623384,-685770.9244600213,-2.373676318164811,-0.4614234675908139,-2.835099785755625,0.05196695599383947,366990.6432284944,-2.275576318164811,-0.412823467590814,-2.688399785755625,0.15570470702744774,1209545.3051306198,-2.2449763181648112,-0.39032346759081404,-2.6352997857556253,0.19452501110499112,1662220.1103923717,-2.2818763181648114,-0.3939234675908141,-2.6757997857556255,0.16485516811366946,1549559.7794981352
N'faly Dante,ATL,2025,23.0,C,2025.0,23.0,C,822.5208333333339,-1.0407946109771729,-0.3515295088291168,-3.4,-1.4,-2.444560437047549,0.07606379431126455,-2.89924,-0.576888,-3.1747876282244505,-3.1014057933052763,-2.89924,-1.0147305138224896,-0.10094846250220729,-0.576888,-3.0584778071765757,-0.5641889921082323,-3.622666799284808,-0.41680259727616703,-2500815.583657002,-2.825377807176576,-0.46338899210823237,-3.288766799284808,-0.2362092103063348,-1516463.1301666694,-2.659777807176576,-0.3886889921082325,-3.0484667992848085,-0.08970965959411004,-633529.6160536051,-2.561677807176576,-0.3400889921082326,-2.9017667992848084,0.006528072994107826,50711.376632828425,-2.531077807176576,-0.31758899210823266,-2.8486667992848087,0.04263364646871855,364305.3617481294,-2.567977807176576,-0.3211889921082327,-2.889166799284809,0.015034360716921902,141315.80431464326
Pacôme Dadiet,NYK,2025,19.0,SG,2025.0,19.0,SG,401.4773148148136,-1.203735113143921,-0.4250229299068451,-3.2,-1.6,-1.4407107795213643,-0.34416856506978133,-2.43389,-0.958768,-2.9774528003434595,-1.8046583264073224,-2.43389,-1.1605741208464095,-0.5526788002517009,-0.958768,-2.405333708916927,-0.8906736403660368,-3.296007349282964,-0.2404087013070057,-1442452.2078420343,-1.9022337089169272,-0.6854736403660369,-2.5877073492829643,0.22989297952227844,1475912.9285330279,-1.4666337089169272,-0.5063736403660369,-1.9730073492829643,0.7354767069056766,5193936.504167888,-1.0985337089169274,-0.353373640366037,-1.4519073492829644,1.2349839354695895,9593602.207514869,-0.7979337089169276,-0.22647364036603712,-1.0244073492829648,1.693353760717216,14469741.752403831,-0.5648337089169277,-0.12567364036603723,-0.690507349282965,2.081822919028557,19568140.327513147
Trentyn Flowers,CHI,2025,19.0,SF,2025.0,19.0,SF,287.24583333333334,-0.8848559260368347,-0.5353884100914001,-3.4,-1.4,-1.2211923692793887,-0.46307673806103994,-2.30334,-1.23116,-3.1747876282244505,-1.52109002483491,-2.30334,-1.0147305138224896,-0.6804995830815421,-1.23116,-2.333072551019787,-0.9754633656346773,-3.3085359166544643,-0.24764554878723466,-1485873.292723408,-1.8299725510197873,-0.7702633656346773,-2.600235916654465,0.2205298366712984,1415801.551429736,-1.3943725510197873,-0.5911633656346774,-1.9855359166544648,0.7242682530785557,5114782.403240761,-1.0262725510197874,-0.4381633656346775,-1.464435916654465,1.2222111550609376,9494380.694744376,-0.7256725510197877,-0.3112633656346776,-1.0369359166544654,1.6792976381216433,14349631.90370221,-0.4925725510197878,-0.2104633656346777,-0.7030359166544655,2.0667644386406736,19426597.80982067
Julius Randle,MIN,2025,30.0,PF,2025.0,30.0,PF,2096.5106280193268,1.544169783592224,-0.4482196867465973,2.0,-0.5,1.4374622220496533,-0.702594972582884,2.31466,-0.127398,2.1532527245623108,1.9132923857330026,2.31466,-0.35843428221484974,-0.9379706001566616,-0.127398,2.127068370098438,-0.47460096079050373,1.6524674093079343,5.559108197784407,33354649.186706442,1.8876683700984378,-0.5565009607905038,1.331167409307934,5.0044353583819605,32128475.000812188,1.5807683700984376,-0.6645009607905039,0.9162674093079337,4.324771516970431,30541536.45284519,1.2063683700984376,-0.798600960790504,0.40776740930793354,3.548032177821017,27561823.563749235,0.7644683700984376,-0.9588009607905041,-0.19433259069206654,2.708430486081719,23143592.672178015,0.2550683700984373,-1.1451009607905043,-0.890032590692067,1.8464772277773376,17356003.324992105
Norman Powell,MIA,2025,31.0,SG,2025.0,31.0,SG,2121.1540277777744,0.6541038751602173,-1.148160696029663,2.0,1.2,1.520679217999266,-0.4773947591820344,2.65608,0.397063,2.1532527245623108,2.020789985489571,2.65608,0.8812363774884701,-0.6958907931407048,0.397063,2.2767075700172943,0.19413619478258845,2.470843764799883,7.083643747746684,42501862.4864801,1.9698075700172941,0.08613619478258838,2.0559437647998826,6.290679905731446,40386164.99479588,1.595407570017294,-0.047963805217411726,1.5474437647998824,5.375080479074234,37958818.343222246,1.153507570017294,-0.20816380521741185,0.9453437647998822,4.371058612923047,33955257.516908824,0.6441075700172938,-0.394463805217412,0.24964376479988182,3.3191250933026875,28361990.304773342,0.0672075700172936,-0.6068638052174121,-0.5396562352001185,2.2660883471147524,21300147.27264876
